bin,N,initial_mean_gold_q,k8_best_median_delta,k8_best_frac_decreased,k8_best_frac_lt_05,k8_best_top1,k8_best_wrong_to_correct,k8_best_correct_to_wrong,k16_best_median_delta,k16_best_frac_decreased,k16_best_frac_lt_05,k16_best_top1,k16_best_wrong_to_correct,k16_best_correct_to_wrong
"[0.00,0.05)",66,0.02283450608913132,-0.010026857758750658,0.7727272727272727,0.8636363636363636,0.06060606060606061,4,0,-0.009045721805567883,0.7575757575757576,0.803030303030303,0.09090909090909091,6,0
"[0.05,0.10)",56,0.07446642576444931,-0.05319777341803612,0.6785714285714286,0.625,0.16071428571428573,9,0,-0.05824501433818717,0.75,0.7321428571428571,0.10714285714285714,6,0
"[0.10,0.20)",95,0.14905398054473423,-0.06617995183344208,0.5789473684210527,0.37894736842105264,0.22105263157894736,21,0,-0.09834138851234449,0.6736842105263158,0.5473684210526316,0.17894736842105263,17,0
"[0.20,0.40)",229,0.2994581286548478,0.09752951606931703,0.4410480349344978,0.15283842794759825,0.45414847161572053,95,10,0.02325052225693991,0.4759825327510917,0.15283842794759825,0.4148471615720524,84,8
"[0.40,0.60)",307,0.4995989664441107,0.19013427799552873,0.3485342019543974,0.06188925081433225,0.6677524429967426,38,72,0.2552186162759368,0.3257328990228013,0.03257328990228013,0.6905537459283387,44,71
"[0.60,0.80)",318,0.7053492754887326,0.21104493857853818,0.16666666666666666,0.0220125786163522,0.889937106918239,0,35,0.22010895052427715,0.1320754716981132,0.018867924528301886,0.9308176100628931,0,22
"[0.80,1.00]",929,0.9450578242590912,0.014469716446851466,0.10441334768568353,0.0032292787944025836,0.9860064585575888,0,13,0.015999792282770375,0.08934337997847147,0.002152852529601722,0.9870828848223897,0,12
