K,m_correct,reward_mean,sample_std,analytic_std,zero_variance,pos_advantage_trl,neg_advantage_trl,pos_advantage_no_eps,neg_advantage_no_eps,analytic_pos,analytic_neg,formula_max_abs_error_vs_no_eps,eps_correction_magnitude,sum_positive_advantage,sum_abs_negative_advantage,mean_abs_advantage,mean_squared_advantage,n_positive,n_negative,n_zero_advantage
8,0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8
8,1,0.125,0.3535533845424652,0.3535533905932738,False,2.474173932086831,-0.35345341886954723,2.4748737341529163,-0.35355339059327373,2.4748737341529163,-0.3535533905932738,6.050808576407718e-09,0.0006998020660855531,2.474173932086831,2.4741739320868303,0.6185434830217077,0.8745052351740014,1,7,0
8,2,0.25,0.4629100561141968,0.4629100498862757,False,1.6198352501942768,-0.5399450833980923,1.620185174601965,-0.5400617248673217,1.620185174601965,-0.5400617248673217,6.227921067747388e-09,0.000349924407688329,3.2396705003885535,3.239670500388554,0.8099176250971385,0.8746220792573184,2,6,0
8,3,0.375,0.5175491571426392,0.5175491695067657,False,1.2073814405913603,-0.7244288643548162,1.20761472884912,-0.724568837309472,1.20761472884912,-0.724568837309472,1.236412650040819e-08,0.0002332882577595896,3.6221443217740807,3.622144321774081,0.9055360804435203,0.8746619658506811,3,5,0
8,4,0.5,0.5345224738121033,0.5345224838248488,False,0.9352393794268636,-0.9352393794268636,0.9354143466934853,-0.9354143466934853,0.9354143466934853,-0.9354143466934853,1.0012745521592592e-08,0.00017496726662169504,3.7409575177074545,3.7409575177074545,0.9352393794268636,0.874672696830745,4,4,0
8,5,0.625,0.5175491571426392,0.5175491695067657,False,0.7244288643548162,-1.2073814405913603,0.724568837309472,-1.20761472884912,0.724568837309472,-1.20761472884912,1.236412650040819e-08,0.0002332882577595896,3.622144321774081,3.6221443217740807,0.9055360804435203,0.8746619658506811,5,3,0
8,6,0.75,0.4629100561141968,0.4629100498862757,False,0.5399450833980923,-1.6198352501942768,0.5400617248673217,-1.620185174601965,0.5400617248673217,-1.620185174601965,6.227921067747388e-09,0.000349924407688329,3.239670500388554,3.2396705003885535,0.8099176250971385,0.8746220792573184,6,2,0
8,7,0.875,0.3535533845424652,0.3535533905932738,False,0.35345341886954723,-2.474173932086831,0.35355339059327373,-2.4748737341529163,0.3535533905932738,-2.4748737341529163,6.050808576407718e-09,0.0006998020660855531,2.4741739320868303,2.474173932086831,0.6185434830217077,0.8745052351740014,7,1,0
8,8,1.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8
16,0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16
16,1,0.0625,0.25,0.25,False,3.748500599760096,-0.2499000399840064,3.75,-0.25,3.75,-0.25,0.0,0.0014994002399038031,3.748500599760096,3.748500599760097,0.46856257497001197,0.9367504497601201,1,15,0
16,2,0.125,0.34156501293182373,0.3415650255319866,False,2.5609879110031493,-0.3658554158575928,2.5617376914899,-0.36596252735569995,2.5617376914898995,-0.36596252735569995,1.2600162857534514e-08,0.000749780486750673,5.1219758220062985,5.1219758220062985,0.6402469777507873,0.9369512971863251,2,14,0
16,3,0.1875,0.40311288833618164,0.4031128874149275,False,2.0150645610786104,-0.46501489871044854,2.0155644370746373,-0.4651302547095317,2.0155644370746373,-0.46513025470953173,9.212541285386067e-10,0.0004998759960268551,6.045193683235832,6.04519368323583,0.755649210404479,0.9370350427649846,3,13,0
16,4,0.25,0.4472135901451111,0.4472135954999579,False,1.6766760669586458,-0.5588920223195486,1.6770509831248424,-0.5590169943749475,1.6770509831248424,-0.5590169943749475,5.35484684371923e-09,0.00037491616619655943,6.706704267834583,6.706704267834585,0.8383380334793229,0.9370808778373043,4,12,0
16,5,0.3125,0.4787135422229767,0.47871355387816905,False,1.4358407242893751,-0.6526548746769887,1.4361406616345072,-0.6527912098338668,1.4361406616345072,-0.6527912098338668,1.165519236678847e-08,0.00029993734513200643,7.1792036214468755,7.1792036214468755,0.8974004526808594,0.9371084479671989,5,11,0
16,6,0.375,0.5,0.5,False,1.249750049990002,-0.7498500299940012,1.25,-0.75,1.25,-0.75,0.0,0.0002499500099979457,7.498500299940012,7.498500299940012,0.9373125374925015,0.9371251124700075,6,10,0
16,7,0.4375,0.5123475193977356,0.51234753829798,False,1.0976733381689412,-0.8537459296869543,1.0978875820670997,-0.8539125638299665,1.0978875820670997,-0.8539125638299665,1.8900244369568497e-08,0.00021424389815849487,7.683713367182588,7.683713367182588,0.9604641708978237,0.9371341445876253,7,9,0
16,8,0.5,0.5163977742195129,0.5163977794943222,False,0.9680583728540433,-0.9680583728540433,0.9682458365518544,-0.9682458365518544,0.9682458365518543,-0.9682458365518543,5.2748092560506166e-09,0.00018746369781108552,7.744466982832346,7.744466982832346,0.9680583728540433,0.9371370132528178,8,8,0
16,9,0.5625,0.5123475193977356,0.51234753829798,False,0.8537459296869543,-1.0976733381689412,0.8539125638299665,-1.0978875820670997,0.8539125638299665,-1.0978875820670997,1.8900244369568497e-08,0.00021424389815849487,7.683713367182588,7.683713367182588,0.9604641708978237,0.9371341445876253,9,7,0
16,10,0.625,0.5,0.5,False,0.7498500299940012,-1.249750049990002,0.75,-1.25,0.75,-1.25,0.0,0.0002499500099979457,7.498500299940012,7.498500299940012,0.9373125374925015,0.9371251124700075,10,6,0
16,11,0.6875,0.4787135422229767,0.47871355387816905,False,0.6526548746769887,-1.4358407242893751,0.6527912098338668,-1.4361406616345072,0.6527912098338668,-1.4361406616345072,1.165519236678847e-08,0.00029993734513200643,7.1792036214468755,7.1792036214468755,0.8974004526808594,0.9371084479671989,11,5,0
16,12,0.75,0.4472135901451111,0.4472135954999579,False,0.5588920223195486,-1.6766760669586458,0.5590169943749475,-1.6770509831248424,0.5590169943749475,-1.6770509831248424,5.35484684371923e-09,0.00037491616619655943,6.706704267834585,6.706704267834583,0.8383380334793229,0.9370808778373043,12,4,0
16,13,0.8125,0.40311288833618164,0.4031128874149275,False,0.46501489871044854,-2.0150645610786104,0.4651302547095317,-2.0155644370746373,0.46513025470953173,-2.0155644370746373,9.212541285386067e-10,0.0004998759960268551,6.04519368323583,6.045193683235832,0.755649210404479,0.9370350427649846,13,3,0
16,14,0.875,0.34156501293182373,0.3415650255319866,False,0.3658554158575928,-2.5609879110031493,0.36596252735569995,-2.5617376914899,0.36596252735569995,-2.5617376914898995,1.2600162857534514e-08,0.000749780486750673,5.1219758220062985,5.1219758220062985,0.6402469777507873,0.9369512971863251,14,2,0
16,15,0.9375,0.25,0.25,False,0.2499000399840064,-3.748500599760096,0.25,-3.75,0.25,-3.75,0.0,0.0014994002399038031,3.748500599760097,3.748500599760096,0.46856257497001197,0.9367504497601201,15,1,0
16,16,1.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16
