id,partition,m_correct_16,mean_abs_delta,max_abs_delta,l1_diff,l2_diff,cosine,k16_positive_total_weight,k8_positive_total_weight,k16_negative_total_weight,k8_negative_total_weight,k16_nonzero,k8_nonzero,newly_nonzero_wrong,newly_nonzero_correct
kk_grpo_v1_train_000000,first8_last8,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.5018226911514689,0.9919027162310939,7.683713367182588,7.363101839481536,7.683713367182588,7.363101839481535,16,16,0,0
kk_grpo_v1_train_000000,rand00,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916475,7.683713367182588,6.861814822162636,7.683713367182588,6.861814822162635,16,16,0,0
kk_grpo_v1_train_000000,rand01,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.501822691151469,0.991902716231094,7.683713367182588,7.363101839481535,7.683713367182588,7.363101839481535,16,16,0,0
kk_grpo_v1_train_000000,rand02,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.501822691151469,0.991902716231094,7.683713367182588,7.363101839481535,7.683713367182588,7.363101839481536,16,16,0,0
kk_grpo_v1_train_000000,rand03,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916474,7.683713367182588,6.861814822162636,7.683713367182588,6.861814822162636,16,16,0,0
kk_grpo_v1_train_000000,rand04,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.501822691151469,0.991902716231094,7.683713367182588,7.363101839481535,7.683713367182588,7.363101839481535,16,16,0,0
kk_grpo_v1_train_000000,rand05,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.501822691151469,0.9919027162310939,7.683713367182588,7.363101839481535,7.683713367182588,7.363101839481536,16,16,0,0
kk_grpo_v1_train_000000,rand06,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916474,7.683713367182588,6.861814822162635,7.683713367182588,6.861814822162635,16,16,0,0
kk_grpo_v1_train_000000,rand07,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.501822691151469,0.9919027162310939,7.683713367182588,7.363101839481535,7.683713367182588,7.363101839481535,16,16,0,0
kk_grpo_v1_train_000000,rand08,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916474,7.683713367182588,6.861814822162635,7.683713367182588,6.861814822162635,16,16,0,0
kk_grpo_v1_train_000000,rand09,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.501822691151469,0.9919027162310939,7.683713367182588,7.363101839481535,7.683713367182588,7.363101839481536,16,16,0,0
kk_grpo_v1_train_000000,rand10,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916475,7.683713367182588,6.861814822162636,7.683713367182588,6.861814822162635,16,16,0,0
kk_grpo_v1_train_000000,rand11,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916474,7.683713367182588,6.861814822162635,7.683713367182588,6.861814822162636,16,16,0,0
kk_grpo_v1_train_000000,rand12,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.501822691151469,0.9919027162310939,7.683713367182588,7.363101839481535,7.683713367182588,7.363101839481536,16,16,0,0
kk_grpo_v1_train_000000,rand13,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.501822691151469,0.9919027162310939,7.683713367182588,7.363101839481536,7.683713367182588,7.363101839481535,16,16,0,0
kk_grpo_v1_train_000000,rand14,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.501822691151469,0.991902716231094,7.683713367182588,7.363101839481535,7.683713367182588,7.363101839481535,16,16,0,0
kk_grpo_v1_train_000000,rand15,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916474,7.683713367182588,6.861814822162636,7.683713367182588,6.861814822162635,16,16,0,0
kk_grpo_v1_train_000000,rand16,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916475,7.683713367182588,6.861814822162635,7.683713367182588,6.861814822162636,16,16,0,0
kk_grpo_v1_train_000000,rand17,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916475,7.683713367182588,6.861814822162636,7.683713367182588,6.861814822162636,16,16,0,0
kk_grpo_v1_train_000000,rand18,7,0.36589111272298036,0.5221619120253356,5.854257803567686,1.4858880716296636,0.9243864041916474,7.683713367182588,6.861814822162634,7.683713367182588,6.861814822162636,16,16,0,0
kk_grpo_v1_train_000000,rand19,7,0.12196370424099345,0.16243395874207756,1.9514192678558953,0.5018226911514689,0.991902716231094,7.683713367182588,7.363101839481536,7.683713367182588,7.363101839481535,16,16,0,0
kk_grpo_v1_train_000067,first8_last8,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand00,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand01,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand02,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand03,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand04,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand05,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand06,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand07,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand08,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand09,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand10,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand11,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand12,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand13,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand14,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand15,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand16,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand17,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand18,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000067,rand19,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0
kk_grpo_v1_train_000074,first8_last8,6,0.49990001999600076,1.2244238820968287,7.998400319936012,2.146378920801531,0.8415721228140902,7.498500299940012,6.096318253860913,7.498500299940012,6.096318253860912,16,16,0,0
kk_grpo_v1_train_000074,rand00,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498016,7.498500299940012,6.980628018096008,7.498500299940012,6.980628018096008,16,16,0,0
kk_grpo_v1_train_000074,rand01,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498016,7.498500299940012,6.980628018096008,7.498500299940012,6.980628018096008,16,16,0,0
kk_grpo_v1_train_000074,rand02,6,0.49990001999600076,1.2244238820968287,7.998400319936012,2.146378920801531,0.8415721228140902,7.498500299940012,6.096318253860913,7.498500299940012,6.096318253860911,16,16,0,0
kk_grpo_v1_train_000074,rand03,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498016,7.498500299940012,6.9806280180960085,7.498500299940012,6.980628018096008,16,16,0,0
kk_grpo_v1_train_000074,rand04,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498015,7.498500299940012,6.980628018096008,7.498500299940012,6.980628018096008,16,16,0,0
kk_grpo_v1_train_000074,rand05,6,0.031776457048981244,0.04236860939864173,0.5084233127836999,0.131274334882325,0.9999999999999999,7.498500299940012,7.244288643548162,7.498500299940012,7.244288643548163,16,16,0,0
kk_grpo_v1_train_000074,rand06,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498016,7.498500299940012,6.980628018096008,7.498500299940012,6.9806280180960085,16,16,0,0
kk_grpo_v1_train_000074,rand07,6,0.24995000999800038,0.3700852002042747,3.999200159968006,1.0350996674610249,0.9636123758498016,7.498500299940012,6.980628018096008,7.498500299940012,6.9806280180960085,16,16,0,0
