id,gold_pattern,m_correct_16,reward_mean_16,k16_zero_variance,k16_sum_positive,k16_sum_abs_negative,k16_mean_abs_advantage,k16_n_negative
kk_grpo_v1_train_001529,KNN,9,0.5625,False,7.683713367182588,7.683713367182588,0.9604641708978235,7
kk_grpo_v1_train_001540,KNK,15,0.9375,False,3.748500599760097,3.748500599760096,0.46856257497001197,1
kk_grpo_v1_train_001602,NKN,15,0.9375,False,3.748500599760097,3.748500599760096,0.46856257497001197,1
kk_grpo_v1_train_001627,NKN,4,0.25,False,6.706704267834583,6.706704267834585,0.8383380334793229,12
kk_grpo_v1_train_001630,NNK,8,0.5,False,7.744466982832346,7.744466982832346,0.9680583728540433,8
kk_grpo_v1_train_001656,NKN,13,0.8125,False,6.04519368323583,6.045193683235832,0.755649210404479,3
kk_grpo_v1_train_001728,NKK,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_001733,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_001773,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_001834,NKK,2,0.125,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,14
kk_grpo_v1_train_001875,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_001920,KNN,2,0.125,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,14
kk_grpo_v1_train_001923,KKN,4,0.25,False,6.706704267834583,6.706704267834585,0.8383380334793229,12
kk_grpo_v1_train_001991,KKN,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_002017,KNN,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002032,KKN,2,0.125,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,14
kk_grpo_v1_train_002036,KNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002056,NKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002069,KNK,5,0.3125,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,11
kk_grpo_v1_train_002076,NKN,10,0.625,False,7.498500299940012,7.498500299940012,0.9373125374925015,6
kk_grpo_v1_train_002090,NNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002177,KKK,15,0.9375,False,3.748500599760097,3.748500599760096,0.46856257497001197,1
kk_grpo_v1_train_002181,NKN,13,0.8125,False,6.04519368323583,6.045193683235832,0.755649210404479,3
kk_grpo_v1_train_002184,KKN,3,0.1875,False,6.045193683235832,6.04519368323583,0.755649210404479,13
kk_grpo_v1_train_002217,NKN,2,0.125,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,14
kk_grpo_v1_train_002253,NKK,10,0.625,False,7.498500299940012,7.498500299940012,0.9373125374925015,6
kk_grpo_v1_train_002261,NKK,5,0.3125,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,11
kk_grpo_v1_train_002262,NKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002301,NKK,6,0.375,False,7.498500299940012,7.498500299940012,0.9373125374925015,10
kk_grpo_v1_train_002325,NKN,3,0.1875,False,6.045193683235832,6.04519368323583,0.755649210404479,13
kk_grpo_v1_train_002357,NKK,12,0.75,False,6.706704267834585,6.706704267834583,0.8383380334793229,4
kk_grpo_v1_train_002381,NNK,10,0.625,False,7.498500299940012,7.498500299940012,0.9373125374925015,6
kk_grpo_v1_train_002408,KKN,12,0.75,False,6.706704267834585,6.706704267834583,0.8383380334793229,4
kk_grpo_v1_train_002426,NKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002459,NKN,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_002514,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002596,KNK,3,0.1875,False,6.045193683235832,6.04519368323583,0.755649210404479,13
kk_grpo_v1_train_002613,KNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002635,KNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002655,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002721,KNK,5,0.3125,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,11
kk_grpo_v1_train_002775,NNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002784,KNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002848,NNN,6,0.375,False,7.498500299940012,7.498500299940012,0.9373125374925015,10
kk_grpo_v1_train_002920,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002925,KKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002935,NKN,2,0.125,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,14
kk_grpo_v1_train_002946,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002957,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_002971,NKN,9,0.5625,False,7.683713367182588,7.683713367182588,0.9604641708978235,7
kk_grpo_v1_train_002991,NKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003024,NNN,11,0.6875,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,5
kk_grpo_v1_train_003027,NKK,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003050,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003083,NNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003099,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003104,NKK,13,0.8125,False,6.04519368323583,6.045193683235832,0.755649210404479,3
kk_grpo_v1_train_003120,NKN,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003154,NKN,4,0.25,False,6.706704267834583,6.706704267834585,0.8383380334793229,12
kk_grpo_v1_train_003182,NNK,11,0.6875,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,5
kk_grpo_v1_train_003190,KNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003235,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003255,KNN,5,0.3125,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,11
kk_grpo_v1_train_003257,KKN,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003307,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003327,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003335,KNN,3,0.1875,False,6.045193683235832,6.04519368323583,0.755649210404479,13
kk_grpo_v1_train_003337,NNN,5,0.3125,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,11
kk_grpo_v1_train_003359,NNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003396,KKK,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003423,KNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003425,NNK,13,0.8125,False,6.04519368323583,6.045193683235832,0.755649210404479,3
kk_grpo_v1_train_003433,KNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003442,NNN,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_003486,NNK,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_003502,KNN,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003539,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_003545,NNK,2,0.125,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,14
kk_grpo_v1_train_003567,KNK,16,1.0,True,0.0,0.0,0.0,0
